experiment_id,model_IE,model_Markdown_Generation,processing_time,sample_num,dataset,chunking_method,chunk_size,overlap,prompt_type,example_num,prompt_token_size,level_type,transformation_method,file_name,ground_truth,predictions,mapped_pred,cleaned_pred,cleaned_gt,precision_initial_exact,precision_mapped_exact,precision_cleaned_exact,recall_initial_exact,recall_mapped_exact,recall_cleaned_exact,f1_initial_exact,f1_mapped_exact,f1_cleaned_exact,match_results_initial_exact,match_results_mapped_exact,match_results_cleaned_exact,precision_initial_substring,precision_mapped_substring,precision_cleaned_substring,recall_initial_substring,recall_mapped_substring,recall_cleaned_substring,f1_initial_substring,f1_mapped_substring,f1_cleaned_substring,match_results_initial_substring,match_results_mapped_substring,match_results_cleaned_substring,precision_initial_fuzzy,precision_mapped_fuzzy,precision_cleaned_fuzzy,recall_initial_fuzzy,recall_mapped_fuzzy,recall_cleaned_fuzzy,f1_initial_fuzzy,f1_mapped_fuzzy,f1_cleaned_fuzzy,match_results_initial_fuzzy,match_results_mapped_fuzzy,match_results_cleaned_fuzzy
52,llama3-70b-8192,gpt-4o,2.69,40,vrdu,fixed,633,,few_shot,0,276,UTL,layout-aware,19950929_Hogan Lovells US LLP_Amendment_Amendment.pdf,"{'registration_num': ['2244'], 'registrant_name': ['Hogan & Hartson'], 'file_date': ['September\n.19 45 29th\nday of']}","{""file_date"": ""September 29, 1995"", ""foreign_principle_name"": ""('Government of Haiti', 'Embassy of Japan')"", ""registrant_name"": ""Hogan & Hartson"", ""registration_num"": ""2244"", ""signer_name"": ""BESSIE O. HOUCK"", ""signer_title"": ""Notary Public""}","{'file_date': 'September 29, 1995', 'foreign_principle_name': ""('Government of Haiti', 'Embassy of Japan')"", 'registrant_name': 'Hogan & Hartson', 'registration_num': '2244', 'signer_name': 'BESSIE O. HOUCK', 'signer_title': 'Notary Public'}","{'file_date': '1995-09-29', 'foreign_principle_name': ""('government Of Haiti', 'embassy Of Japan')"", 'registrant_name': 'Hogan & Hartson', 'registration_num': '2244', 'signer_name': 'Bessie O. Houck', 'signer_title': 'notary public'}","{'file_date': ['september .19 45 29th day of'], 'foreign_principle_name': '', 'registrant_name': ['Hogan & Hartson'], 'registration_num': ['2244'], 'signer_name': '', 'signer_title': ''}",0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,1.0,1.0,0.8,0.8,0.8,"{'file_date': 0, 'registrant_name': 1, 'registration_num': 1}","{'file_date': 0, 'registrant_name': 1, 'registration_num': 1}","{'file_date': 0, 'registrant_name': 1, 'registration_num': 1}",0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,1.0,1.0,0.8,0.8,0.8,"{'file_date': 0, 'registrant_name': 1, 'registration_num': 1}","{'file_date': 0, 'registrant_name': 1, 'registration_num': 1}","{'file_date': 0, 'registrant_name': 1, 'registration_num': 1}",0.596885813148789,0.596885813148789,0.6539792387543253,1.0,1.0,1.0,0.7475622968580715,0.7475622968580715,0.7907949790794979,"{'file_date': 0, 'registrant_name': 1, 'registration_num': 1}","{'file_date': 0, 'registrant_name': 1, 'registration_num': 1}","{'file_date': 0, 'registrant_name': 1, 'registration_num': 1}"
52,llama3-70b-8192,gpt-4o,0.64,40,vrdu,fixed,633,,few_shot,0,327,UTL,layout-aware,19830401_Bermuda Tourism Authority_Amendment_Amendment.pdf,"{'registration_num': ['430'], 'registrant_name': ['Bermuda Department of Tourism'], 'signer_name': ['(Ronald N. Bassett )'], 'signer_title': ['General Manager, North America'], 'file_date': ['york\nZa\n1983\nday of\nApril']}","{""file_date"": ""April 7, 1983"", ""foreign_principle_name"": """", ""registrant_name"": ""Bermuda Department of Tourism"", ""registration_num"": ""430"", ""signer_name"": ""Ronald N. Bassett"", ""signer_title"": ""General Manager, North America""}","{'file_date': 'April 7, 1983', 'foreign_principle_name': '', 'registrant_name': 'Bermuda Department of Tourism', 'registration_num': '430', 'signer_name': 'Ronald N. Bassett', 'signer_title': 'General Manager, North America'}","{'file_date': '1983-04-07', 'foreign_principle_name': '', 'registrant_name': 'Bermuda Department Of Tourism', 'registration_num': '430', 'signer_name': 'Ronald N. Bassett', 'signer_title': 'general manager, north america'}","{'file_date': ['york za 1983 day of april'], 'foreign_principle_name': '', 'registrant_name': ['Bermuda Department Of Tourism'], 'registration_num': ['430'], 'signer_name': ['(ronald N. Bassett )'], 'signer_title': ['general manager, north america']}",0.6,0.6,0.6,1.0,1.0,1.0,0.7499999999999999,0.7499999999999999,0.7499999999999999,"{'file_date': 0, 'registrant_name': 1, 'registration_num': 1, 'signer_name': 0, 'signer_title': 1}","{'file_date': 0, 'registrant_name': 1, 'registration_num': 1, 'signer_name': 0, 'signer_title': 1}","{'file_date': 0, 'registrant_name': 1, 'registration_num': 1, 'signer_name': 0, 'signer_title': 1}",0.6,0.6,0.6,1.0,1.0,1.0,0.7499999999999999,0.7499999999999999,0.7499999999999999,"{'file_date': 0, 'registrant_name': 1, 'registration_num': 1, 'signer_name': 0, 'signer_title': 1}","{'file_date': 0, 'registrant_name': 1, 'registration_num': 1, 'signer_name': 0, 'signer_title': 1}","{'file_date': 0, 'registrant_name': 1, 'registration_num': 1, 'signer_name': 0, 'signer_title': 1}",0.596885813148789,0.596885813148789,0.6539792387543253,1.0,1.0,1.0,0.7475622968580715,0.7475622968580715,0.7907949790794979,"{'file_date': 0, 'registrant_name': 1, 'registration_num': 1, 'signer_name': 1, 'signer_title': 1}","{'file_date': 0, 'registrant_name': 1, 'registration_num': 1, 'signer_name': 1, 'signer_title': 1}","{'file_date': 0, 'registrant_name': 1, 'registration_num': 1, 'signer_name': 1, 'signer_title': 1}"
52,llama3-70b-8192,gpt-4o,7.16,40,vrdu,fixed,633,,few_shot,0,616,UTL,layout-aware,"19760201_Italian Government Tourist Board (ENIT), Los Angeles_Amendment_Amendment.pdf","{'registration_num': ['1884'], 'registrant_name': ['Italian Government Travel Office-E.N.I.T\n360 Post Street, Suite 801, San Francisco, Cal.\nCal.']}","{""file_date"": """", ""foreign_principle_name"": ""Italian Government"", ""registrant_name"": ""Italian Government Travel Office - E.N.I.T"", ""registration_num"": ""1884"", ""signer_name"": """", ""signer_title"": """"}","{'file_date': '', 'foreign_principle_name': 'Italian Government', 'registrant_name': 'Italian Government Travel Office - E.N.I.T', 'registration_num': '1884', 'signer_name': '', 'signer_title': ''}","{'file_date': '', 'foreign_principle_name': 'Italian Government', 'registrant_name': 'Italian Government Travel Office - E.n.i.t', 'registration_num': '1884', 'signer_name': '', 'signer_title': ''}","{'file_date': '', 'foreign_principle_name': '', 'registrant_name': ['Italian Government Travel Office-e.n.i.t 360 Post Street, Suite 801, San Francisco, Cal. Cal.'], 'registration_num': ['1884'], 'signer_name': '', 'signer_title': ''}",0.5,0.5,0.5,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,"{'registrant_name': 0, 'registration_num': 1}","{'registrant_name': 0, 'registration_num': 1}","{'registrant_name': 0, 'registration_num': 1}",0.5,0.5,0.5,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,"{'registrant_name': 0, 'registration_num': 1}","{'registrant_name': 0, 'registration_num': 1}","{'registrant_name': 0, 'registration_num': 1}",0.596885813148789,0.596885813148789,0.6539792387543253,1.0,1.0,1.0,0.7475622968580715,0.7475622968580715,0.7907949790794979,"{'registrant_name': 0, 'registration_num': 1}","{'registrant_name': 0, 'registration_num': 1}","{'registrant_name': 0, 'registration_num': 1}"
52,llama3-70b-8192,gpt-4o,6.91,40,vrdu,fixed,633,,few_shot,0,298,UTL,layout-aware,19961018_DLA Piper US LLP_Amendment_Amendment.pdf,"{'registration_num': ['3712'], 'registrant_name': ['Verner, Liipfert, Bernhard, McPherson\nand Hand, Chartered'], 'signer_name': ['Daniel Manatt'], 'file_date': ['1\nday of October\n1996']}","{""file_date"": ""October 18, 1996"", ""foreign_principle_name"": ""Government of Oman"", ""registrant_name"": ""Verner, Liipfert, Bernhard, McPherson and Hand, Chartered"", ""registration_num"": ""3712"", ""signer_name"": ""June A. Todd"", ""signer_title"": ""Notary or other officer""}","{'file_date': 'October 18, 1996', 'foreign_principle_name': 'Government of Oman', 'registrant_name': 'Verner, Liipfert, Bernhard, McPherson and Hand, Chartered', 'registration_num': '3712', 'signer_name': 'June A. Todd', 'signer_title': 'Notary or other officer'}","{'file_date': '1996-10-18', 'foreign_principle_name': 'Government Of Oman', 'registrant_name': 'Verner, Liipfert, Bernhard, Mcpherson And Hand, Chartered', 'registration_num': '3712', 'signer_name': 'June A. Todd', 'signer_title': 'notary or other officer'}","{'file_date': ['1996-10-01'], 'foreign_principle_name': '', 'registrant_name': ['Verner, Liipfert, Bernhard, Mcpherson And Hand, Chartered'], 'registration_num': ['3712'], 'signer_name': ['Daniel Manatt'], 'signer_title': ''}",0.25,0.25,0.5,1.0,1.0,1.0,0.4,0.4,0.6666666666666666,"{'file_date': 0, 'registrant_name': 0, 'registration_num': 1, 'signer_name': 0}","{'file_date': 0, 'registrant_name': 0, 'registration_num': 1, 'signer_name': 0}","{'file_date': 0, 'registrant_name': 1, 'registration_num': 1, 'signer_name': 0}",0.25,0.25,0.5,1.0,1.0,1.0,0.4,0.4,0.6666666666666666,"{'file_date': 0, 'registrant_name': 0, 'registration_num': 1, 'signer_name': 0}","{'file_date': 0, 'registrant_name': 0, 'registration_num': 1, 'signer_name': 0}","{'file_date': 0, 'registrant_name': 1, 'registration_num': 1, 'signer_name': 0}",0.596885813148789,0.596885813148789,0.6539792387543253,1.0,1.0,1.0,0.7475622968580715,0.7475622968580715,0.7907949790794979,"{'file_date': 0, 'registrant_name': 1, 'registration_num': 1, 'signer_name': 0}","{'file_date': 0, 'registrant_name': 1, 'registration_num': 1, 'signer_name': 0}","{'file_date': 0, 'registrant_name': 1, 'registration_num': 1, 'signer_name': 0}"
52,llama3-70b-8192,gpt-4o,3.76,40,vrdu,fixed,633,,few_shot,0,120,UTL,layout-aware,"20020611_CMGRP, Inc._Amendment_Amendment.pdf","{'registration_num': ['3911'], 'registrant_name': ['BSMG Worldwide'], 'file_date': ['3/28/02'], 'signer_name': ['Lance Morgan']}","{""file_date"": ""3/28/02"", ""foreign_principle_name"": """", ""registrant_name"": ""BSMG Worldwide DBA Weber Shandwick"", ""registration_num"": ""3911"", ""signer_name"": ""Lance Morgan"", ""signer_title"": """"}","{'file_date': '3/28/02', 'foreign_principle_name': '', 'registrant_name': 'BSMG Worldwide DBA Weber Shandwick', 'registration_num': '3911', 'signer_name': 'Lance Morgan', 'signer_title': ''}","{'file_date': '2002-03-28', 'foreign_principle_name': '', 'registrant_name': 'Bsmg Worldwide Dba Weber Shandwick', 'registration_num': '3911', 'signer_name': 'Lance Morgan', 'signer_title': ''}","{'file_date': ['2002-03-28'], 'foreign_principle_name': '', 'registrant_name': ['Bsmg Worldwide'], 'registration_num': ['3911'], 'signer_name': ['Lance Morgan'], 'signer_title': ''}",0.75,0.75,0.75,1.0,1.0,1.0,0.8571428571428571,0.8571428571428571,0.8571428571428571,"{'file_date': 1, 'registrant_name': 0, 'registration_num': 1, 'signer_name': 1}","{'file_date': 1, 'registrant_name': 0, 'registration_num': 1, 'signer_name': 1}","{'file_date': 1, 'registrant_name': 0, 'registration_num': 1, 'signer_name': 1}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"{'file_date': 1, 'registrant_name': 1, 'registration_num': 1, 'signer_name': 1}","{'file_date': 1, 'registrant_name': 1, 'registration_num': 1, 'signer_name': 1}","{'file_date': 1, 'registrant_name': 1, 'registration_num': 1, 'signer_name': 1}",0.596885813148789,0.596885813148789,0.6539792387543253,1.0,1.0,1.0,0.7475622968580715,0.7475622968580715,0.7907949790794979,"{'file_date': 1, 'registrant_name': 0, 'registration_num': 1, 'signer_name': 1}","{'file_date': 1, 'registrant_name': 0, 'registration_num': 1, 'signer_name': 1}","{'file_date': 1, 'registrant_name': 0, 'registration_num': 1, 'signer_name': 1}"
52,llama3-70b-8192,gpt-4o,8.88,40,vrdu,fixed,633,,few_shot,0,392,UTL,layout-aware,"20160406_Rokk Solutions, LLC_Amendment_Amendment.pdf","{'registration_num': ['6320'], 'registrant_name': ['Rokk Solutions LLC'], 'foreign_principle_name': ['Embassy of the Republic of Korea'], 'file_date': ['April 06, 2016'], 'signer_name': ['Ron Bonjean'], 'signer_title': ['Member']}","{""file_date"": ""April 06, 2016"", ""foreign_principle_name"": ""Embassy of the Republic of Korea"", ""registrant_name"": ""Rock Solutions LLC"", ""registration_num"": ""6320"", ""signer_name"": ""Ron Bonjean"", ""signer_title"": ""Member""}","{'file_date': 'April 06, 2016', 'foreign_principle_name': 'Embassy of the Republic of Korea', 'registrant_name': 'Rock Solutions LLC', 'registration_num': '6320', 'signer_name': 'Ron Bonjean', 'signer_title': 'Member'}","{'file_date': '2016-04-06', 'foreign_principle_name': 'Embassy Of The Republic Of Korea', 'registrant_name': 'Rock Solutions Llc', 'registration_num': '6320', 'signer_name': 'Ron Bonjean', 'signer_title': 'member'}","{'file_date': ['2016-04-06'], 'foreign_principle_name': ['Embassy Of The Republic Of Korea'], 'registrant_name': ['Rokk Solutions Llc'], 'registration_num': ['6320'], 'signer_name': ['Ron Bonjean'], 'signer_title': ['member']}",0.8333333333333334,0.8333333333333334,0.8333333333333334,1.0,1.0,1.0,0.9090909090909092,0.9090909090909092,0.9090909090909092,"{'file_date': 1, 'foreign_principle_name': 1, 'registrant_name': 0, 'registration_num': 1, 'signer_name': 1, 'signer_title': 1}","{'file_date': 1, 'foreign_principle_name': 1, 'registrant_name': 0, 'registration_num': 1, 'signer_name': 1, 'signer_title': 1}","{'file_date': 1, 'foreign_principle_name': 1, 'registrant_name': 0, 'registration_num': 1, 'signer_name': 1, 'signer_title': 1}",0.8333333333333334,0.8333333333333334,0.8333333333333334,1.0,1.0,1.0,0.9090909090909092,0.9090909090909092,0.9090909090909092,"{'file_date': 1, 'foreign_principle_name': 1, 'registrant_name': 0, 'registration_num': 1, 'signer_name': 1, 'signer_title': 1}","{'file_date': 1, 'foreign_principle_name': 1, 'registrant_name': 0, 'registration_num': 1, 'signer_name': 1, 'signer_title': 1}","{'file_date': 1, 'foreign_principle_name': 1, 'registrant_name': 0, 'registration_num': 1, 'signer_name': 1, 'signer_title': 1}",0.596885813148789,0.596885813148789,0.6539792387543253,1.0,1.0,1.0,0.7475622968580715,0.7475622968580715,0.7907949790794979,"{'file_date': 1, 'foreign_principle_name': 1, 'registrant_name': 1, 'registration_num': 1, 'signer_name': 1, 'signer_title': 1}","{'file_date': 1, 'foreign_principle_name': 1, 'registrant_name': 1, 'registration_num': 1, 'signer_name': 1, 'signer_title': 1}","{'file_date': 1, 'foreign_principle_name': 1, 'registrant_name': 1, 'registration_num': 1, 'signer_name': 1, 'signer_title': 1}"
52,llama3-70b-8192,gpt-4o,7.97,40,vrdu,fixed,633,,few_shot,0,360,UTL,layout-aware,"20131127_Independent Diplomat, Inc._Amendment_Amendment.pdf","{'registration_num': ['5860'], 'registrant_name': ['Independent Diplomat'], 'foreign_principle_name': ['Republic of South Sudan.'], 'file_date': ['November 27, 2013'], 'signer_name': ['Carne William Ross']}","{""file_date"": ""11/27/2013"", ""foreign_principle_name"": ""The Government of the Republic of South Sudan"", ""registrant_name"": ""Independent Diplomat"", ""registration_num"": ""5860"", ""signer_name"": ""Carne William Ross"", ""signer_title"": """"}","{'file_date': '11/27/2013', 'foreign_principle_name': 'The Government of the Republic of South Sudan', 'registrant_name': 'Independent Diplomat', 'registration_num': '5860', 'signer_name': 'Carne William Ross', 'signer_title': ''}","{'file_date': '2013-11-27', 'foreign_principle_name': 'The Government Of The Republic Of South Sudan', 'registrant_name': 'Independent Diplomat', 'registration_num': '5860', 'signer_name': 'Carne William Ross', 'signer_title': ''}","{'file_date': ['2013-11-27'], 'foreign_principle_name': ['Republic Of South Sudan.'], 'registrant_name': ['Independent Diplomat'], 'registration_num': ['5860'], 'signer_name': ['Carne William Ross'], 'signer_title': ''}",0.6,0.6,0.8,1.0,1.0,1.0,0.7499999999999999,0.7499999999999999,0.888888888888889,"{'file_date': 0, 'foreign_principle_name': 0, 'registrant_name': 1, 'registration_num': 1, 'signer_name': 1}","{'file_date': 0, 'foreign_principle_name': 0, 'registrant_name': 1, 'registration_num': 1, 'signer_name': 1}","{'file_date': 1, 'foreign_principle_name': 0, 'registrant_name': 1, 'registration_num': 1, 'signer_name': 1}",0.6,0.6,0.8,1.0,1.0,1.0,0.7499999999999999,0.7499999999999999,0.888888888888889,"{'file_date': 0, 'foreign_principle_name': 0, 'registrant_name': 1, 'registration_num': 1, 'signer_name': 1}","{'file_date': 0, 'foreign_principle_name': 0, 'registrant_name': 1, 'registration_num': 1, 'signer_name': 1}","{'file_date': 1, 'foreign_principle_name': 0, 'registrant_name': 1, 'registration_num': 1, 'signer_name': 1}",0.596885813148789,0.596885813148789,0.6539792387543253,1.0,1.0,1.0,0.7475622968580715,0.7475622968580715,0.7907949790794979,"{'file_date': 0, 'foreign_principle_name': 0, 'registrant_name': 1, 'registration_num': 1, 'signer_name': 1}","{'file_date': 0, 'foreign_principle_name': 0, 'registrant_name': 1, 'registration_num': 1, 'signer_name': 1}","{'file_date': 1, 'foreign_principle_name': 0, 'registrant_name': 1, 'registration_num': 1, 'signer_name': 1}"
52,llama3-70b-8192,gpt-4o,5.91,40,vrdu,fixed,633,,few_shot,0,303,UTL,layout-aware,19820401_Bermuda Tourism Authority_Amendment_Amendment.pdf,"{'registrant_name': ['Bermuda Department of Tourism'], 'registration_num': ['430'], 'signer_name': ['Ronald N. Bassett'], 'signer_title': ['General Manager'], 'file_date': ['8 day of april 1984']}","{""file_date"": ""8th day of April, 1982"", ""foreign_principle_name"": """", ""registrant_name"": ""Bermuda Department of Tourism"", ""registration_num"": ""430"", ""signer_name"": ""Ronald N. Bassett"", ""signer_title"": ""General Manager, North America""}","{'file_date': '8th day of April, 1982', 'foreign_principle_name': '', 'registrant_name': 'Bermuda Department of Tourism', 'registration_num': '430', 'signer_name': 'Ronald N. Bassett', 'signer_title': 'General Manager, North America'}","{'file_date': '1982-04-08', 'foreign_principle_name': '', 'registrant_name': 'Bermuda Department Of Tourism', 'registration_num': '430', 'signer_name': 'Ronald N. Bassett', 'signer_title': 'general manager, north america'}","{'file_date': ['1984-04-08'], 'foreign_principle_name': '', 'registrant_name': ['Bermuda Department Of Tourism'], 'registration_num': ['430'], 'signer_name': ['Ronald N. Bassett'], 'signer_title': ['general manager']}",0.6,0.6,0.6,1.0,1.0,1.0,0.7499999999999999,0.7499999999999999,0.7499999999999999,"{'file_date': 0, 'registrant_name': 1, 'registration_num': 1, 'signer_name': 1, 'signer_title': 0}","{'file_date': 0, 'registrant_name': 1, 'registration_num': 1, 'signer_name': 1, 'signer_title': 0}","{'file_date': 0, 'registrant_name': 1, 'registration_num': 1, 'signer_name': 1, 'signer_title': 0}",0.8,0.8,0.8,1.0,1.0,1.0,0.888888888888889,0.888888888888889,0.888888888888889,"{'file_date': 0, 'registrant_name': 1, 'registration_num': 1, 'signer_name': 1, 'signer_title': 1}","{'file_date': 0, 'registrant_name': 1, 'registration_num': 1, 'signer_name': 1, 'signer_title': 1}","{'file_date': 0, 'registrant_name': 1, 'registration_num': 1, 'signer_name': 1, 'signer_title': 1}",0.596885813148789,0.596885813148789,0.6539792387543253,1.0,1.0,1.0,0.7475622968580715,0.7475622968580715,0.7907949790794979,"{'file_date': 0, 'registrant_name': 1, 'registration_num': 1, 'signer_name': 1, 'signer_title': 0}","{'file_date': 0, 'registrant_name': 1, 'registration_num': 1, 'signer_name': 1, 'signer_title': 0}","{'file_date': 0, 'registrant_name': 1, 'registration_num': 1, 'signer_name': 1, 'signer_title': 0}"
52,llama3-70b-8192,gpt-4o,9.03,40,vrdu,fixed,633,,few_shot,0,378,UTL,layout-aware,"20180123_Fleishman-Hillard, Inc._Amendment_Amendment.pdf","{'registration_num': ['5801'], 'registrant_name': ['Fleishman-Hillard Inc.'], 'file_date': ['1/23/2018'], 'signer_name': ['Kelly R. Garner'], 'signer_title': ['Senior Vice President, Senior Partner\n& Corporate Controller']}","{""file_date"": ""01/23/2018"", ""foreign_principle_name"": ""Special Department of Social Communication of the General Secretariat of the Presidency of the Republic of Brazil"", ""registrant_name"": ""Fleishman-Hillard Inc."", ""registration_num"": ""5801"", ""signer_name"": ""Kelly R. Garner"", ""signer_title"": ""Senior Vice President, Senior Partner & Corporate Controller""}","{'file_date': '01/23/2018', 'foreign_principle_name': 'Special Department of Social Communication of the General Secretariat of the Presidency of the Republic of Brazil', 'registrant_name': 'Fleishman-Hillard Inc.', 'registration_num': '5801', 'signer_name': 'Kelly R. Garner', 'signer_title': 'Senior Vice President, Senior Partner & Corporate Controller'}","{'file_date': '2018-01-23', 'foreign_principle_name': 'Special Department Of Social Communication Of The General Secretariat Of The Presidency Of The Republic Of Brazil', 'registrant_name': 'Fleishman-hillard Inc.', 'registration_num': '5801', 'signer_name': 'Kelly R. Garner', 'signer_title': 'senior vice president, senior partner & corporate controller'}","{'file_date': ['2018-01-23'], 'foreign_principle_name': '', 'registrant_name': ['Fleishman-hillard Inc.'], 'registration_num': ['5801'], 'signer_name': ['Kelly R. Garner'], 'signer_title': ['senior vice president, senior partner & corporate controller']}",0.6,0.6,1.0,1.0,1.0,1.0,0.7499999999999999,0.7499999999999999,1.0,"{'file_date': 0, 'registrant_name': 1, 'registration_num': 1, 'signer_name': 1, 'signer_title': 0}","{'file_date': 0, 'registrant_name': 1, 'registration_num': 1, 'signer_name': 1, 'signer_title': 0}","{'file_date': 1, 'registrant_name': 1, 'registration_num': 1, 'signer_name': 1, 'signer_title': 1}",0.8,0.8,1.0,1.0,1.0,1.0,0.888888888888889,0.888888888888889,1.0,"{'file_date': 1, 'registrant_name': 1, 'registration_num': 1, 'signer_name': 1, 'signer_title': 0}","{'file_date': 1, 'registrant_name': 1, 'registration_num': 1, 'signer_name': 1, 'signer_title': 0}","{'file_date': 1, 'registrant_name': 1, 'registration_num': 1, 'signer_name': 1, 'signer_title': 1}",0.596885813148789,0.596885813148789,0.6539792387543253,1.0,1.0,1.0,0.7475622968580715,0.7475622968580715,0.7907949790794979,"{'file_date': 0, 'registrant_name': 1, 'registration_num': 1, 'signer_name': 1, 'signer_title': 1}","{'file_date': 0, 'registrant_name': 1, 'registration_num': 1, 'signer_name': 1, 'signer_title': 1}","{'file_date': 1, 'registrant_name': 1, 'registration_num': 1, 'signer_name': 1, 'signer_title': 1}"
52,llama3-70b-8192,gpt-4o,6.84,40,vrdu,fixed,633,,few_shot,0,342,UTL,layout-aware,20180613_Ballard Partners_Amendment_Amendment.pdf,"{'registration_num': ['6415'], 'registrant_name': ['Ballard Partners'], 'file_date': ['June 13, 2018'], 'signer_name': ['Brian D. Ballard']}","{""file_date"": ""06/13/2018"", ""foreign_principle_name"": ""Republic of Turkey"", ""registrant_name"": ""Ballard Partners"", ""registration_num"": ""6415"", ""signer_name"": ""Brian D. Ballard"", ""signer_title"": """"}","{'file_date': '06/13/2018', 'foreign_principle_name': 'Republic of Turkey', 'registrant_name': 'Ballard Partners', 'registration_num': '6415', 'signer_name': 'Brian D. Ballard', 'signer_title': ''}","{'file_date': '2018-06-13', 'foreign_principle_name': 'Republic Of Turkey', 'registrant_name': 'Ballard Partners', 'registration_num': '6415', 'signer_name': 'Brian D. Ballard', 'signer_title': ''}","{'file_date': ['2018-06-13'], 'foreign_principle_name': '', 'registrant_name': ['Ballard Partners'], 'registration_num': ['6415'], 'signer_name': ['Brian D. Ballard'], 'signer_title': ''}",0.75,0.75,1.0,1.0,1.0,1.0,0.8571428571428571,0.8571428571428571,1.0,"{'file_date': 0, 'registrant_name': 1, 'registration_num': 1, 'signer_name': 1}","{'file_date': 0, 'registrant_name': 1, 'registration_num': 1, 'signer_name': 1}","{'file_date': 1, 'registrant_name': 1, 'registration_num': 1, 'signer_name': 1}",0.75,0.75,1.0,1.0,1.0,1.0,0.8571428571428571,0.8571428571428571,1.0,"{'file_date': 0, 'registrant_name': 1, 'registration_num': 1, 'signer_name': 1}","{'file_date': 0, 'registrant_name': 1, 'registration_num': 1, 'signer_name': 1}","{'file_date': 1, 'registrant_name': 1, 'registration_num': 1, 'signer_name': 1}",0.596885813148789,0.596885813148789,0.6539792387543253,1.0,1.0,1.0,0.7475622968580715,0.7475622968580715,0.7907949790794979,"{'file_date': 0, 'registrant_name': 1, 'registration_num': 1, 'signer_name': 1}","{'file_date': 0, 'registrant_name': 1, 'registration_num': 1, 'signer_name': 1}","{'file_date': 1, 'registrant_name': 1, 'registration_num': 1, 'signer_name': 1}"
