experiment_id,model_name,sample_num,chunk_size,prompt_type,example_num,level_type,file_name,token_counts
88,llama3-70b-8192,40,1421,chain_of_thought,3,UTL,"20180430_Public Strategies Washington, Inc._Amendment_Amendment.pdf",2101
88,llama3-70b-8192,40,1421,chain_of_thought,3,UTL,19820401_Bermuda Tourism Authority_Amendment_Amendment.pdf,1616
88,llama3-70b-8192,40,1421,chain_of_thought,3,UTL,"20020611_CMGRP, Inc._Amendment_Amendment.pdf",1843
88,llama3-70b-8192,40,1421,chain_of_thought,3,UTL,"20021204_JWI, LLC_Amendment_Amendment.pdf",1886
88,llama3-70b-8192,40,1421,chain_of_thought,3,UTL,"20130815_Squire Patton Boggs, LLP_Amendment_Amendment.pdf",2078
88,llama3-70b-8192,40,1421,chain_of_thought,3,UTL,"20180123_Fleishman-Hillard, Inc._Amendment_Amendment.pdf",2282
88,llama3-70b-8192,40,1421,chain_of_thought,3,UTL,"20120604_Squire Patton Boggs, LLP_Amendment_Amendment.pdf",2080
88,llama3-70b-8192,40,1421,chain_of_thought,3,UTL,19790101_Representative of the Turkish Republic of Northern Cyprus_Amendment_Amendment.pdf,1792
88,llama3-70b-8192,40,1421,chain_of_thought,3,UTL,"20170224_Alston _ Bird, LLP_Amendment_Amendment.pdf",2052
88,llama3-70b-8192,40,1421,chain_of_thought,3,UTL,"19760201_Italian Government Tourist Board (ENIT), Los Angeles_Amendment_Amendment.pdf",2170
88,llama3-70b-8192,40,1421,chain_of_thought,3,UTL,"20131127_Independent Diplomat, Inc._Amendment_Amendment.pdf",2078
88,llama3-70b-8192,40,1421,chain_of_thought,3,UTL,"19901201_CMGRP, Inc._Amendment_Amendment.pdf",1814
88,llama3-70b-8192,40,1421,chain_of_thought,3,UTL,19950929_Hogan Lovells US LLP_Amendment_Amendment.pdf,1868
88,llama3-70b-8192,40,1421,chain_of_thought,3,UTL,"20010820_Arnold _ Porter Kaye Scholer, LLP_Amendment_Amendment.pdf",1922
88,llama3-70b-8192,40,1421,chain_of_thought,3,UTL,20140813_Fratelli Group_Amendment_Amendment.pdf,2136
88,llama3-70b-8192,40,1421,chain_of_thought,3,UTL,"19920201_Sidley Austin, LLP_Amendment_Amendment.pdf",1820
88,llama3-70b-8192,40,1421,chain_of_thought,3,UTL,"20150203_Burson-Marsteller, LLC (Miami Office)_Amendment_Amendment.pdf",2101
88,llama3-70b-8192,40,1421,chain_of_thought,3,UTL,20110103_Representative of the Turkish Republic of Northern Cyprus_Amendment_Amendment.pdf,1992
88,llama3-70b-8192,40,1421,chain_of_thought,3,UTL,"20150105_Squire Patton Boggs, LLP_Amendment_Amendment.pdf",2105
88,llama3-70b-8192,40,1421,chain_of_thought,3,UTL,"20130131_Sidley Austin, LLP_Amendment_Amendment.pdf",2078
88,llama3-70b-8192,40,1421,chain_of_thought,3,UTL,19770101_Representative of the Turkish Republic of Northern Cyprus_Amendment_Amendment.pdf,1932
88,llama3-70b-8192,40,1421,chain_of_thought,3,UTL,19961018_DLA Piper US LLP_Amendment_Amendment.pdf,2100
88,llama3-70b-8192,40,1421,chain_of_thought,3,UTL,"20170901_Bryan Cave, LLP_Amendment_Amendment.pdf",2109
88,llama3-70b-8192,40,1421,chain_of_thought,3,UTL,19710401_Netherlands Board of Tourism and Conventions (NBTC)_Amendment_Amendment.pdf,1513
