experiment_id,model_name,processing_time,chunk_size,prompt_type,example_num,level_type,transformation_method,cleaned_gt,match_results_initial_exact,match_results_mapped_exact,match_results_cleaned_exact,match_results_initial_substring,match_results_mapped_substring,match_results_cleaned_substring,match_results_initial_fuzzy,match_results_mapped_fuzzy,match_results_cleaned_fuzzy,f1_initial_exact,f1_mapped_exact,f1_cleaned_exact,f1_initial_substring,f1_mapped_substring,f1_cleaned_substring,f1_initial_fuzzy,f1_mapped_fuzzy,f1_cleaned_fuzzy,chunk_size_category
0,llama3-70b-8192,15.7,2958,no_schema,,STL,layout-aware,"{'file_date': ['1996-10-01'], 'foreign_principle_name': '', 'registrant_name': ['Verner, Liipfert, Bernhard, Mcpherson And Hand, Chartered'], 'registration_num': ['3712'], 'signer_name': ['Daniel Manatt'], 'signer_title': ''}","{'file_date': 0, 'registrant_name': 0, 'registration_num': 1, 'signer_name': 0}","{'file_date': 0, 'registrant_name': 0, 'registration_num': 1, 'signer_name': 0}","{'file_date': 1, 'registrant_name': 1, 'registration_num': 1, 'signer_name': 0}","{'file_date': 0, 'registrant_name': 0, 'registration_num': 1, 'signer_name': 0}","{'file_date': 0, 'registrant_name': 0, 'registration_num': 1, 'signer_name': 0}","{'file_date': 1, 'registrant_name': 1, 'registration_num': 1, 'signer_name': 0}","{'file_date': 0, 'registrant_name': 1, 'registration_num': 1, 'signer_name': 0}","{'file_date': 0, 'registrant_name': 1, 'registration_num': 1, 'signer_name': 0}","{'file_date': 1, 'registrant_name': 1, 'registration_num': 1, 'signer_name': 0}",0.6236324832963489,0.6236324832963489,0.7159330398826199,0.6589666169498103,0.6589666169498103,0.7225623582766442,0.7169811320754719,0.7169811320754719,0.7754237288135594,max
1,llama3-70b-8192,17.47,2958,no_schema,,STL,naive,"{'file_date': ['1996-10-01'], 'foreign_principle_name': '', 'registrant_name': ['Verner, Liipfert, Bernhard, Mcpherson And Hand, Chartered'], 'registration_num': ['3712'], 'signer_name': ['Daniel Manatt'], 'signer_title': ''}","{'file_date': 0, 'registrant_name': 0, 'registration_num': 1, 'signer_name': 0}","{'file_date': 0, 'registrant_name': 0, 'registration_num': 1, 'signer_name': 0}","{'file_date': 1, 'registrant_name': 1, 'registration_num': 1, 'signer_name': 0}","{'file_date': 0, 'registrant_name': 0, 'registration_num': 1, 'signer_name': 0}","{'file_date': 0, 'registrant_name': 0, 'registration_num': 1, 'signer_name': 0}","{'file_date': 1, 'registrant_name': 1, 'registration_num': 1, 'signer_name': 0}","{'file_date': 0, 'registrant_name': 1, 'registration_num': 1, 'signer_name': 0}","{'file_date': 0, 'registrant_name': 1, 'registration_num': 1, 'signer_name': 0}","{'file_date': 1, 'registrant_name': 1, 'registration_num': 1, 'signer_name': 0}",0.6306325971580209,0.6306325971580209,0.7199152542372882,0.6621297722992638,0.6621297722992638,0.7293045466774282,0.7222222222222224,0.7222222222222224,0.7765957446808508,max
2,llama3-70b-8192,16.68,2958,no_schema,,UTL,layout-aware,"{'file_date': ['1996-10-01'], 'foreign_principle_name': '', 'registrant_name': ['Verner, Liipfert, Bernhard, Mcpherson And Hand, Chartered'], 'registration_num': ['3712'], 'signer_name': ['Daniel Manatt'], 'signer_title': ''}","{'file_date': 0, 'registrant_name': 0, 'registration_num': 1, 'signer_name': 0}","{'file_date': 0, 'registrant_name': 0, 'registration_num': 1, 'signer_name': 0}","{'file_date': 1, 'registrant_name': 1, 'registration_num': 1, 'signer_name': 0}","{'file_date': 0, 'registrant_name': 0, 'registration_num': 1, 'signer_name': 0}","{'file_date': 0, 'registrant_name': 0, 'registration_num': 1, 'signer_name': 0}","{'file_date': 1, 'registrant_name': 1, 'registration_num': 1, 'signer_name': 0}","{'file_date': 0, 'registrant_name': 1, 'registration_num': 1, 'signer_name': 0}","{'file_date': 0, 'registrant_name': 1, 'registration_num': 1, 'signer_name': 0}","{'file_date': 1, 'registrant_name': 1, 'registration_num': 1, 'signer_name': 0}",0.6270471825093674,0.6270471825093674,0.7147992530345472,0.6699910267137158,0.6699910267137158,0.7236894757903163,0.7268722466960349,0.7268722466960349,0.7793030623020063,max
3,llama3-70b-8192,13.24,2958,no_schema,,UTL,naive,"{'file_date': ['1996-10-01'], 'foreign_principle_name': '', 'registrant_name': ['Verner, Liipfert, Bernhard, Mcpherson And Hand, Chartered'], 'registration_num': ['3712'], 'signer_name': ['Daniel Manatt'], 'signer_title': ''}","{'file_date': 0, 'registrant_name': 0, 'registration_num': 1, 'signer_name': 0}","{'file_date': 0, 'registrant_name': 0, 'registration_num': 1, 'signer_name': 0}","{'file_date': 1, 'registrant_name': 1, 'registration_num': 1, 'signer_name': 0}","{'file_date': 0, 'registrant_name': 0, 'registration_num': 1, 'signer_name': 0}","{'file_date': 0, 'registrant_name': 0, 'registration_num': 1, 'signer_name': 0}","{'file_date': 1, 'registrant_name': 1, 'registration_num': 1, 'signer_name': 0}","{'file_date': 0, 'registrant_name': 1, 'registration_num': 1, 'signer_name': 0}","{'file_date': 0, 'registrant_name': 1, 'registration_num': 1, 'signer_name': 0}","{'file_date': 1, 'registrant_name': 1, 'registration_num': 1, 'signer_name': 0}",0.6167430608607081,0.6167430608607081,0.7067026810724291,0.6581863048249604,0.6581863048249604,0.7200880352140857,0.7169811320754719,0.7169811320754719,0.7767195767195765,max
4,llama3-70b-8192,13.2,1383,no_schema,,STL,layout-aware,"{'file_date': ['1996-10-01'], 'foreign_principle_name': '', 'registrant_name': ['Verner, Liipfert, Bernhard, Mcpherson And Hand, Chartered'], 'registration_num': ['3712'], 'signer_name': ['Daniel Manatt'], 'signer_title': ''}","{'file_date': 0, 'registrant_name': 0, 'registration_num': 1, 'signer_name': 0}","{'file_date': 0, 'registrant_name': 0, 'registration_num': 1, 'signer_name': 0}","{'file_date': 1, 'registrant_name': 1, 'registration_num': 1, 'signer_name': 0}","{'file_date': 0, 'registrant_name': 0, 'registration_num': 1, 'signer_name': 0}","{'file_date': 0, 'registrant_name': 0, 'registration_num': 1, 'signer_name': 0}","{'file_date': 1, 'registrant_name': 1, 'registration_num': 1, 'signer_name': 0}","{'file_date': 0, 'registrant_name': 1, 'registration_num': 1, 'signer_name': 0}","{'file_date': 0, 'registrant_name': 1, 'registration_num': 1, 'signer_name': 0}","{'file_date': 1, 'registrant_name': 1, 'registration_num': 1, 'signer_name': 0}",0.7169338169338169,0.7169338169338169,0.8177606177606177,0.7621075621075621,0.7621075621075621,0.8275203775203775,0.8045112781954885,0.8045112781954885,0.8881118881118879,medium
5,llama3-70b-8192,19.54,1383,no_schema,,STL,naive,"{'file_date': ['1996-10-01'], 'foreign_principle_name': '', 'registrant_name': ['Verner, Liipfert, Bernhard, Mcpherson And Hand, Chartered'], 'registration_num': ['3712'], 'signer_name': ['Daniel Manatt'], 'signer_title': ''}","{'file_date': 0, 'registrant_name': 0, 'registration_num': 1, 'signer_name': 0}","{'file_date': 0, 'registrant_name': 0, 'registration_num': 1, 'signer_name': 0}","{'file_date': 1, 'registrant_name': 1, 'registration_num': 1, 'signer_name': 0}","{'file_date': 0, 'registrant_name': 0, 'registration_num': 1, 'signer_name': 0}","{'file_date': 0, 'registrant_name': 0, 'registration_num': 1, 'signer_name': 0}","{'file_date': 1, 'registrant_name': 1, 'registration_num': 1, 'signer_name': 0}","{'file_date': 0, 'registrant_name': 1, 'registration_num': 1, 'signer_name': 0}","{'file_date': 0, 'registrant_name': 1, 'registration_num': 1, 'signer_name': 0}","{'file_date': 1, 'registrant_name': 1, 'registration_num': 1, 'signer_name': 0}",0.6240345342040258,0.6240345342040258,0.7090260963142319,0.6560092449922958,0.6560092449922958,0.7188525692762981,0.7173184357541902,0.7173184357541902,0.7735042735042736,medium
6,llama3-70b-8192,23.55,1383,no_schema,,UTL,layout-aware,"{'file_date': ['1996-10-01'], 'foreign_principle_name': '', 'registrant_name': ['Verner, Liipfert, Bernhard, Mcpherson And Hand, Chartered'], 'registration_num': ['3712'], 'signer_name': ['Daniel Manatt'], 'signer_title': ''}","{'file_date': 0, 'registrant_name': 0, 'registration_num': 1, 'signer_name': 1}","{'file_date': 0, 'registrant_name': 0, 'registration_num': 1, 'signer_name': 1}","{'file_date': 1, 'registrant_name': 1, 'registration_num': 1, 'signer_name': 1}","{'file_date': 0, 'registrant_name': 0, 'registration_num': 1, 'signer_name': 1}","{'file_date': 0, 'registrant_name': 0, 'registration_num': 1, 'signer_name': 1}","{'file_date': 1, 'registrant_name': 1, 'registration_num': 1, 'signer_name': 1}","{'file_date': 0, 'registrant_name': 1, 'registration_num': 1, 'signer_name': 1}","{'file_date': 0, 'registrant_name': 1, 'registration_num': 1, 'signer_name': 1}","{'file_date': 1, 'registrant_name': 1, 'registration_num': 1, 'signer_name': 1}",0.6274540119077935,0.6274540119077935,0.7140722955849007,0.6611474892987499,0.6611474892987499,0.7231492597038818,0.7169811320754719,0.7169811320754719,0.774125132555673,medium
7,llama3-70b-8192,13.69,1383,no_schema,,UTL,naive,"{'file_date': ['1996-10-01'], 'foreign_principle_name': '', 'registrant_name': ['Verner, Liipfert, Bernhard, Mcpherson And Hand, Chartered'], 'registration_num': ['3712'], 'signer_name': ['Daniel Manatt'], 'signer_title': ''}","{'file_date': 0, 'registrant_name': 0, 'registration_num': 1, 'signer_name': 0}","{'file_date': 0, 'registrant_name': 0, 'registration_num': 1, 'signer_name': 0}","{'file_date': 1, 'registrant_name': 1, 'registration_num': 1, 'signer_name': 0}","{'file_date': 0, 'registrant_name': 0, 'registration_num': 1, 'signer_name': 0}","{'file_date': 0, 'registrant_name': 0, 'registration_num': 1, 'signer_name': 0}","{'file_date': 1, 'registrant_name': 1, 'registration_num': 1, 'signer_name': 0}","{'file_date': 0, 'registrant_name': 1, 'registration_num': 1, 'signer_name': 0}","{'file_date': 0, 'registrant_name': 1, 'registration_num': 1, 'signer_name': 0}","{'file_date': 1, 'registrant_name': 1, 'registration_num': 1, 'signer_name': 0}",0.6138952550717256,0.6138952550717256,0.7128584767240231,0.6507766743060861,0.6507766743060861,0.7193344004268375,0.7098214285714288,0.7098214285714288,0.774125132555673,medium
8,llama3-70b-8192,23.87,595,no_schema,,STL,layout-aware,"{'file_date': ['1996-10-01'], 'foreign_principle_name': '', 'registrant_name': ['Verner, Liipfert, Bernhard, Mcpherson And Hand, Chartered'], 'registration_num': ['3712'], 'signer_name': ['Daniel Manatt'], 'signer_title': ''}","{'file_date': 0, 'registrant_name': 0, 'registration_num': 0, 'signer_name': 0}","{'file_date': 0, 'registrant_name': 0, 'registration_num': 0, 'signer_name': 0}","{'file_date': 1, 'registrant_name': 1, 'registration_num': 0, 'signer_name': 0}","{'file_date': 0, 'registrant_name': 0, 'registration_num': 0, 'signer_name': 0}","{'file_date': 0, 'registrant_name': 0, 'registration_num': 0, 'signer_name': 0}","{'file_date': 1, 'registrant_name': 1, 'registration_num': 0, 'signer_name': 0}","{'file_date': 0, 'registrant_name': 1, 'registration_num': 0, 'signer_name': 0}","{'file_date': 0, 'registrant_name': 1, 'registration_num': 0, 'signer_name': 0}","{'file_date': 1, 'registrant_name': 1, 'registration_num': 0, 'signer_name': 0}",0.5744364412431641,0.5744364412431641,0.6567857446008707,0.5920768307322931,0.5920768307322931,0.6638752470685245,0.6666666666666669,0.6666666666666669,0.7240618101545253,small
9,llama3-70b-8192,16.32,595,no_schema,,STL,naive,"{'file_date': ['1996-10-01'], 'foreign_principle_name': '', 'registrant_name': ['Verner, Liipfert, Bernhard, Mcpherson And Hand, Chartered'], 'registration_num': ['3712'], 'signer_name': ['Daniel Manatt'], 'signer_title': ''}","{'file_date': 0, 'registrant_name': 0, 'registration_num': 0, 'signer_name': 1}","{'file_date': 0, 'registrant_name': 0, 'registration_num': 0, 'signer_name': 1}","{'file_date': 0, 'registrant_name': 1, 'registration_num': 0, 'signer_name': 1}","{'file_date': 0, 'registrant_name': 0, 'registration_num': 0, 'signer_name': 1}","{'file_date': 0, 'registrant_name': 0, 'registration_num': 0, 'signer_name': 1}","{'file_date': 0, 'registrant_name': 1, 'registration_num': 0, 'signer_name': 1}","{'file_date': 0, 'registrant_name': 1, 'registration_num': 0, 'signer_name': 1}","{'file_date': 0, 'registrant_name': 1, 'registration_num': 0, 'signer_name': 1}","{'file_date': 0, 'registrant_name': 1, 'registration_num': 0, 'signer_name': 1}",0.5898225957049489,0.5898225957049489,0.6659427407326568,0.6148726157129519,0.6148726157129519,0.6741060060387793,0.6878547105561859,0.6878547105561859,0.7366120218579237,small
